restaurant_id,number_of_items,cuisine_type,order_hour,day_of_week,restaurant_load,historical_avg_prep_time,food_preparation_time
1052,1,Italian,13,Sun,Medium,27,42.1
1093,5,Chinese,20,Sun,Low,18,31.0
1015,5,Fast Food,10,Sat,Medium,17,26.4
1072,1,Chinese,20,Mon,Medium,16,27.5
1061,6,Chinese,18,Tue,Medium,18,28.2
1021,3,Indian,17,Wed,High,18,35.8
1083,5,Chinese,13,Fri,High,20,46.1
1087,3,Chinese,12,Thu,Low,13,20.1
1075,7,Fast Food,11,Wed,High,16,31.1
1075,6,Fast Food,15,Tue,Medium,30,43.3
1088,1,South Indian,9,Sun,Medium,16,28.0
1100,6,Indian,22,Sun,Low,13,29.8
1024,5,Chinese,19,Sun,Medium,21,42.4
1003,2,Indian,21,Mon,Low,26,34.7
1022,7,Italian,18,Sun,Medium,29,48.4
1053,1,Chinese,14,Thu,Low,12,22.0
1002,4,Indian,11,Fri,Low,18,32.7
1088,7,South Indian,9,Sat,Low,14,27.4
1030,8,South Indian,22,Sat,Low,29,44.9
1038,3,Chinese,14,Wed,Low,25,33.5
1002,6,Italian,20,Fri,Medium,17,36.5
1064,1,South Indian,8,Tue,Low,30,27.0
1060,7,South Indian,11,Fri,Medium,25,41.9
1021,6,Italian,16,Mon,Low,28,36.0
1033,1,Indian,21,Wed,High,25,41.2
1076,5,South Indian,11,Wed,High,27,43.8
1058,7,Fast Food,19,Mon,Low,24,32.7
1022,5,South Indian,20,Fri,Medium,27,41.7
1089,7,Indian,10,Sun,Low,23,37.2
1049,5,Indian,17,Mon,High,25,48.3
1091,8,Chinese,17,Sun,Medium,14,39.7
1059,6,Fast Food,9,Thu,Low,17,20.4
1042,4,Indian,23,Mon,Medium,25,46.5
1092,7,Italian,21,Sun,Low,30,48.8
1060,8,Fast Food,22,Fri,Medium,10,22.1
1080,7,Fast Food,10,Sun,Medium,20,36.1
1015,5,Italian,8,Mon,Medium,20,35.8
1062,1,South Indian,17,Tue,Medium,11,14.8
1062,7,Italian,15,Sat,Low,28,47.9
1047,8,Italian,8,Mon,Low,14,33.0
1062,5,South Indian,10,Sat,Low,12,23.0
1051,2,South Indian,21,Mon,High,17,33.1
1055,5,South Indian,10,Fri,Low,13,19.2
1064,6,South Indian,20,Thu,Medium,22,37.7
1003,4,South Indian,22,Thu,Medium,23,30.8
1051,2,Italian,9,Sat,Low,10,19.2
1007,6,Chinese,21,Fri,Medium,14,33.8
1021,6,Chinese,12,Sun,Medium,30,47.1
1073,6,Indian,17,Fri,Medium,16,31.1
1039,1,Chinese,10,Fri,Medium,15,19.2
1018,6,Chinese,10,Tue,Medium,24,38.7
1004,1,Italian,15,Wed,Medium,24,30.4
1089,6,South Indian,11,Mon,Medium,17,30.8
1060,3,South Indian,11,Fri,Medium,11,18.1
1014,8,Italian,10,Fri,Low,23,36.4
1009,2,Chinese,18,Fri,Medium,25,32.6
1090,3,Italian,8,Thu,Low,19,27.3
1053,6,Indian,15,Fri,Low,24,35.3
1002,2,South Indian,22,Mon,Medium,13,12.4
1084,2,Fast Food,8,Sun,High,21,27.5
1092,7,Indian,14,Sun,High,19,53.8
1060,4,Indian,12,Fri,Low,11,23.2
1071,3,Italian,11,Mon,Medium,13,25.3
1044,4,Chinese,11,Tue,Medium,29,41.7
1008,2,South Indian,15,Sun,Low,15,23.7
1047,1,Fast Food,18,Wed,High,23,27.8
1035,2,Indian,18,Thu,Medium,12,22.0
1078,4,Fast Food,20,Mon,High,24,37.9
1081,3,Chinese,21,Sun,Low,10,22.9
1036,6,Chinese,13,Sun,Low,28,52.5
1050,7,Fast Food,23,Sat,High,10,27.1
1004,7,South Indian,21,Tue,Medium,22,39.1
1002,7,Chinese,19,Wed,High,17,43.0
1006,6,Fast Food,8,Wed,Low,27,31.6
1054,7,Indian,21,Wed,Medium,12,36.4
1004,3,Fast Food,17,Mon,Medium,27,33.8
1054,6,Fast Food,15,Tue,Low,29,33.7
1093,7,Italian,20,Fri,Medium,18,46.9
1063,6,Chinese,21,Sat,Medium,15,41.5
1018,4,South Indian,9,Tue,Low,29,32.9
1090,8,South Indian,13,Tue,Low,11,29.2
1044,8,Italian,16,Sun,Medium,13,37.0
1034,3,South Indian,8,Tue,Medium,27,32.9
1074,5,Fast Food,13,Mon,High,16,27.8
1062,1,Italian,23,Sat,Medium,20,35.6
1100,7,Indian,15,Mon,Low,14,25.3
1014,1,Chinese,17,Sat,High,17,33.4
1095,6,Chinese,20,Sat,High,20,49.9
1048,1,Chinese,9,Sun,Low,29,31.4
1015,3,Fast Food,12,Mon,High,29,44.3
1072,3,Indian,13,Sat,Low,24,39.6
1078,2,Italian,12,Tue,Low,12,17.0
1087,8,Italian,10,Mon,Low,16,26.8
1062,7,Chinese,11,Sat,Low,17,26.3
1040,2,Indian,14,Wed,High,20,38.9
1085,1,Indian,11,Mon,Medium,19,30.7
1080,5,Indian,16,Sun,High,29,46.4
1082,2,South Indian,18,Thu,Medium,18,25.0
1053,2,South Indian,19,Mon,Medium,24,35.8
1024,3,Chinese,21,Mon,Medium,29,47.1
1026,5,Indian,20,Mon,High,14,42.0
1089,6,Indian,20,Sat,Medium,24,49.2
1060,1,Italian,17,Mon,High,13,24.5
1041,2,Italian,9,Thu,High,14,25.4
1029,5,Chinese,23,Fri,Low,24,29.6
1015,8,Indian,12,Mon,Medium,26,44.5
1045,7,Chinese,15,Wed,High,17,35.3
1065,5,Italian,21,Thu,High,28,51.7
1089,8,Italian,12,Fri,Low,18,33.3
1071,1,South Indian,17,Sat,Medium,19,26.0
1009,5,Chinese,19,Mon,Medium,14,32.3
1088,8,Chinese,15,Fri,Low,19,32.0
1001,5,Indian,15,Wed,Medium,10,27.5
1008,5,Indian,16,Thu,Low,13,24.7
1088,7,South Indian,17,Thu,Medium,30,44.1
1063,8,Fast Food,13,Sat,Medium,14,31.9
1011,8,Fast Food,23,Sat,Medium,16,32.2
1081,2,Fast Food,19,Sat,Medium,14,28.0
1008,1,Chinese,11,Fri,Medium,29,36.6
1035,7,Chinese,19,Mon,Low,17,36.9
1035,5,Italian,18,Tue,Low,26,38.2
1033,5,Chinese,10,Thu,Low,10,22.6
1005,2,Chinese,22,Tue,Low,27,33.2
1041,1,Chinese,19,Sun,Medium,21,35.2
1028,3,South Indian,23,Thu,High,12,24.2
1007,7,Chinese,21,Sat,Low,29,52.2
1073,2,Indian,12,Mon,Low,23,21.3
1072,1,Indian,13,Mon,Medium,25,41.6
1012,7,Italian,10,Thu,Medium,27,46.7
1034,5,South Indian,9,Fri,High,19,40.9
1033,1,Indian,23,Sun,Medium,24,31.4
1048,1,South Indian,14,Sat,Medium,19,35.3
1023,6,South Indian,18,Mon,Low,10,21.8
1062,1,Italian,12,Sun,Medium,28,36.0
1088,3,South Indian,16,Sun,Low,11,18.0
1037,1,Chinese,22,Mon,Low,22,23.2
1099,3,South Indian,10,Wed,Low,25,28.3
1044,5,Italian,21,Sun,High,17,40.0
1086,3,Italian,22,Mon,Medium,12,25.9
1091,7,Italian,15,Wed,Low,30,40.8
1035,5,Indian,13,Mon,Medium,28,44.9
1065,5,Chinese,11,Mon,Medium,23,39.6
1099,3,Indian,19,Sun,Medium,20,35.2
1047,8,Fast Food,19,Fri,Low,21,34.5
1078,2,Chinese,22,Fri,Medium,20,24.6
1003,4,South Indian,16,Sat,High,20,43.1
1001,8,Italian,12,Mon,Low,30,48.8
1005,1,Fast Food,23,Sat,Low,27,24.3
1090,6,Chinese,22,Sat,Low,19,29.8
1014,4,Indian,17,Sat,Low,25,39.5
1027,1,Italian,23,Sat,Medium,17,28.1
